"","MR1","MR2","MR3"
"study_during_pc",1.053,-0.194,0.246
"study_quiet_place_1_10",1.004,0.015,0.085
"study_interruption_per_hour",-0.83,-0.06,0.288
"sleep_hour_per_night",0.832,0.078,-0.279
"sleep_quality_1_10",0.963,0.105,0.053
"stress_1_10",-0.992,-0.018,-0.01
"technostress_1_10",-0.93,-0.163,-0.025
"cognitive_load_1_10",-0.978,-0.008,0.037
"resilience_1_10",0.799,0.088,-0.298
"digital_education_hour_week",1.007,0.04,0.089
"social_media_hour_day",-0.81,-0.083,0.316
"ai_use_req_1_5",0.988,0.059,0.138
"commute_hour_day",-0.889,-0.086,0.118
"hour_searching_per_week",-0.699,-0.103,0.452
"active_recall_1_5",0.948,0.088,0.005
"self_test_per_week",1.006,-0.089,-0.01
"past_test_hour_per_week",0.987,0.023,0.013
"tutor",0.025,0.932,0.035
"tutor_hour_per_week",0.016,1.029,0.111
"spaced_repetition",1.06,-0.202,0.252
"absence_days",-0.561,-0.143,0.578
"instruction_clarity_1_10",0.942,0.011,-0.07
"age",-0.819,0.011,0.334
"chore_hour_per_day",-0.858,-0.102,0.213
"gender_num",-0.019,0.047,-0.007
"study_hours_num",1.007,0.022,0.102
